id,input,expected_output,context,task_type,metadata
70f2aab0-1e19-480f-9a90-2c787aa04b89,What is the capital of France?,The capital of France is Paris.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
dd50b80d-925d-494b-9920-c72f373c8e34,Who wrote the play 'Hamlet'?,William Shakespeare wrote 'Hamlet'.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
30da6a58-b90c-4846-8e89-b58bded5a6c8,What is the chemical symbol for water?,The chemical symbol for water is H2O.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
2a9c67f2-bc37-4258-b43f-d513c087b4d0,In what year did the Apollo 11 moon landing occur?,The Apollo 11 moon landing occurred in 1969.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
5210eca6-8cdf-46c3-ac1b-d71c836c4670,What is the largest planet in our solar system?,Jupiter is the largest planet in our solar system.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
6e18daad-61af-4fa4-a161-399766511237,Who painted the Mona Lisa?,Leonardo da Vinci painted the Mona Lisa.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
a8fa8d76-14fc-4282-b1f4-a1524b6ceeca,What is the speed of light in a vacuum?,"The speed of light is approximately 299,792 kilometers per second.",,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
f81e5864-acbd-4af3-a07a-e3b9ba8ca7d9,Which element has the atomic number 1?,Hydrogen has the atomic number 1.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
ec982212-b56f-4b32-8209-03fcc7524793,What is the longest river in the world?,The Nile River is traditionally considered the longest river in the world.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
b3619577-f202-4643-af73-1f20e054a652,Who was the first President of the United States?,George Washington was the first President.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
4f170d73-c33e-4106-a283-d921b41c189f,What is the hardest natural substance on Earth?,Diamond is the hardest natural substance.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
8d0912a8-81d7-44b3-b8bd-d974b04e4633,How many continents are there on Earth?,There are seven continents.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
01c8650b-4287-49d0-84b7-515de3186fda,What is the main ingredient in guacamole?,The main ingredient in guacamole is avocado.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
ea5e64ee-eec4-4830-aabe-250ae7e2ce37,Who discovered penicillin?,Alexander Fleming discovered penicillin.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
7c89c4b1-d628-49cb-8074-dc1710e0da73,What is the square root of 144?,The square root of 144 is 12.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
0592ec53-cf6c-4cf8-b10c-80e96d0e01ba,Which planet is known as the Red Planet?,Mars is known as the Red Planet.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
6be189a1-2673-41eb-b4f5-2f4c80369d79,What is the largest ocean on Earth?,The Pacific Ocean is the largest ocean.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
a79665c1-5167-457e-bea9-e52647a6696a,Who is the author of the Harry Potter series?,J.K. Rowling is the author of the Harry Potter series.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
a2d032b0-de36-49fb-922a-de36bb89d76e,What is the capital of Japan?,The capital of Japan is Tokyo.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
46e2209a-2b72-4b17-8a4b-1206257ffac7,What is the powerhouse of the cell?,The mitochondria are the powerhouse of the cell.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
1df417f0-92e7-4e76-8a40-3fc2f1708e72,How many bones are in the adult human body?,There are 206 bones in the adult human body.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
6203f954-0f16-4131-8f49-a01fcc398ecd,What is the freezing point of water in Celsius?,The freezing point of water is 0 degrees Celsius.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
acef0242-3881-48ab-a71c-ccb84ffb2b28,Who formulated the theory of relativity?,Albert Einstein formulated the theory of relativity.,,qa,"{""difficulty"": ""easy"", ""tags"": [""general_knowledge"", ""factual""]}"
806cb13b-cee6-4c5f-b673-1b89879f2269,What is the currency of the United Kingdom?,The currency of the UK is the British Pound Sterling.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
6a7cfe50-609e-486f-beb3-792a702faf91,What is the largest mammal in the world?,The blue whale is the largest mammal.,,qa,"{""difficulty"": ""medium"", ""tags"": [""general_knowledge"", ""factual""]}"
4a5a8b18-31d5-4454-95e3-67bd0158d6e7,"Summarize the following text:
Artificial intelligence is intelligence demonstrated by machines, as opposed to intelligence of humans and other animals. Example tasks in which this is done include speech recognition, computer vision, translation between (natural) languages, as well as other mappings of inputs.",AI is machine intelligence used for tasks like speech recognition and translation.,,summarization,"{""difficulty"": ""medium"", ""tags"": [""text_processing"", ""compression""]}"
